Length	Height	Width	Species	Weight	
35.09 17.51 6.54 4 975.8
10.38 1.92 1.14 6 7.8
17.72 4.7 3.06 5 33.6
28.4 13.11 5.38 4 388.8
12.41 2.4 1.43 6 12
34.97 18.84 6.33 4 843.1
33.28 17.31 5.93 4 948.8
12.54 2.53 1.72 6 14.4
11.58 2.1 1.21 6 9.6
26.7 7.75 5.1 5 280.1
30.69 9.58 5.67 5 618.5
13.11 2.73 1.54 6 19.2
13.69 2.51 1.7 6 17.9
12.95 2.27 1.04 6 9.8
33.97 17.78 6.49 4 1020
34.43 16.15 5.33 4 794.4
22.85 6.79 4.13 5 182.4
14.15 2.94 1.7 6 22.1
33.63 17.8 5.64 4 954.2
34.31 10.19 5.93 5 669
39.78 11.78 7.69 5 1024.4
36.47 19.23 6.56 4 1204.9
13.41 2.62 1.84 6 19.1
27.55 14.32 4.96 4 529.5
32.24 15.99 6.06 4 962.3
10.97 2.03 1.03 6 9.3
11.78 2.23 1.26 6 12.8
11.62 2.41 1.17 6 11.1
27.55 8.2 5.77 5 382.4
11.05 1.99 1.13 6 9.8
12.35 2.19 0.99 6 12.1
28.65 8.88 5.55 5 468.4
49.13 14.68 9.5 5 1680.7
25.79 8.17 4.37 5 285.3
22.42 7.03 4.31 5 133.2
29.26 15.78 5.54 4 518
12.31 3.66 2.17 5 21.5
28.8 14.99 5.07 4 678
33.11 10.02 6.27 5 533.1
29.33 15.35 5.92 4 756
10.85 1.88 1.04 6 8.6
11.6 2.06 1.21 6 10
34.96 17.82 5.85 4 863.8
28.37 8.75 5.3 5 374
14.13 2.95 1.54 6 19.3
32.37 10.16 6.35 5 547.9
26.61 7.71 4.27 5 284.4
12.69 2.61 1.57 6 16.5
28.53 8.07 4.93 5 390.4
36.12 18.76 6.61 4 1187.2
32.24 9.72 5.74 5 489.1
28.82 14.36 5.2 4 520.6
10.94 1.92 1.11 6 9.6
9.75 1.54 0.78 6 7.8
33.1 10.02 6.3 5 706.8
26.84 8.26 4.93 5 387.7
15.39 3.03 1.82 6 27.6
33.01 16.7 6.67 4 1024
33.8 16.85 6 4 891.2
9.98 1.78 0.86 6 8.6
13.32 2.57 1.71 6 16.5
32.58 16.9 5.64 4 884.5
32.66 16.72 5.66 4 611.2
41.17 21.3 7.93 4 1452.4
40.29 11.95 7.47 5 1010.9
35.76 17.63 6.31 4 652.6
9.95 1.57 1.09 6 8
30.59 10.35 6.29 5 528.3
12.18 2.32 1.31 6 14
32.98 16.66 6.27 4 789.6
23.01 6.85 4.2 5 239.2
13.63 2.93 1.65 6 17.1
11.03 2.06 1.24 6 8.7
34.86 18.76 6.31 4 926.6
29.78 15.03 5.44 4 669.2
17.53 5.76 2.83 5 116.6
12.46 2.52 1.48 6 12.6
11 1.88 1.01 6 8.3
11.98 2.48 1.49 6 11.5
33.25 16.37 6.19 4 835.1
36.61 11.26 5.99 5 833
32.94 17.3 5.97 4 785.6
21.05 6.27 3.73 5 133.4
30.28 9.19 5.64 5 537.6
34.99 18.96 6.75 4 798
13.02 2.68 1.57 6 16
13.54 2.77 1.59 6 16.4
22.19 9.76 3.81 4 208.7
33.77 10.75 6.26 5 618.4
12.03 2.33 1.39 6 13
31.12 15.38 5.92 4 608.3
32.98 16.5 6.11 4 773.2
36.8 10.7 6.48 5 730
10.44 1.86 1.13 6 8
11.35 4.22 2.54 5 43.6
37.25 18.09 6.37 4 1259.4
12.78 2.87 1.93 6 17.2
35.23 10.81 6.58 5 697.7
13.62 2.94 1.99 6 23.1
44.81 13.37 7.73 5 1415.1
35.31 16.82 5.33 4 869
12.57 2.53 1.47 6 16.4
36.02 11.29 6.65 5 800.1
11.53 2.12 1.21 6 9.1
37.96 11.91 6.71 5 969.7
12.64 2.43 1.77 6 13.3
12.32 2.5 1.61 6 13.2
11.58 2.18 1.47 6 12
35.11 10.94 6.89 5 820.1
24.17 6.62 3.14 5 162.7
32.19 16.04 5.61 4 689.3
33.22 9.64 6.01 5 596.1
11.56 2.42 1.76 6 16.1
11.94 2.21 1.04 6 9.8
30.95 15.53 5.52 4 618.3
35.55 11.82 7.04 5 1006.5
36.16 17.83 6.41 4 1042.6
14.77 2.99 1.66 6 23.9
12.93 3.62 2.23 5 25.4
41.61 11.83 7.48 5 1108.2
32.94 16.16 6.1 4 794
11.97 2.49 1.19 6 11.4
11.94 2.42 1.66 6 11.8
12.43 2.5 1.57 6 13.1
11.56 2.05 1.35 6 12.2
33.64 10.52 6.76 5 560.4
26.29 12.32 4.52 4 244
11.3 2.12 1.36 6 12
32.87 8.99 5.79 5 407.5
46.09 14.62 8.87 5 1560.9
33.67 16.87 6.15 4 756
37.69 11.5 7.51 5 993.6
24.11 7.49 4.23 5 228.9
11.82 2.49 1.52 6 16.1
39.88 20.89 7.33 4 1258
11.96 2.42 1.63 6 14.8
19.82 5.92 2.71 5 111.8
13.76 2.69 1.84 6 19.5
12 2.24 1.22 6 12.5
12.34 2.53 1.65 6 17.3
12.14 2.06 1.31 6 13.3
27.22 13.2 4.82 4 484.7
31.66 16.24 5.28 4 630.6
25.04 11.4 4.14 4 237.7
21.91 6.13 3.41 5 118.5
20.45 5.7 3.65 5 122.4
32.82 16.71 5.81 4 697.2
43.94 14.16 8.76 5 1451.1
31.12 8.65 5.13 5 362.6
31.33 15.24 5.3 4 537.1
10.28 1.92 1.01 6 7.2
11.24 2.13 1.05 6 12.3
19.86 5.52 3.39 5 164.6
31.44 16.29 5.66 4 710.1
29.81 14.18 5.1 4 585.2
14.28 3.5 1.63 5 34.5
31.87 17.29 6.45 4 897.1
40.06 12.48 7.61 5 947.9
14.59 4.42 2.87 5 48
33.4 16.63 6.16 4 884.4
11.39 2.21 1.39 6 11.7
13.67 2.61 1.76 6 19.4
14.22 3.17 1.85 6 21.9
30.51 9.06 5.81 5 457.6
11.14 2.21 1.33 6 10.5
39.08 12.49 7.44 5 1193.2
11.79 2.26 1.28 6 10
23.76 6.8 4.36 5 225.9
31.64 8.63 5.63 5 415.3
30.47 13.78 5.04 4 554.7
11.1 2.31 1.52 6 11.4
26.62 8.2 5.77 5 383.7
20.2 5.51 3.2 5 119
13.28 2.72 1.77 6 17
28.58 14.45 5.08 4 480.3
13.25 2.68 1.67 6 21.8
31.07 15.13 5.6 4 705.5
38.38 18.82 6.79 4 1128.7
23.31 6.46 3.97 5 187.2
24.45 13.5 4.67 4 488.9
41.03 13.08 7.76 5 1272.3
28.07 8.07 5.34 5 321
15.24 2.93 1.96 6 26.2
11.56 2.06 1.48 6 10.9
13.06 2.74 1.67 6 17.5
16.43 4.89 3.45 5 59.2
18.6 3.54 1.46 5 48.8
34.95 17.02 5.49 4 744
11.47 2.25 1.5 6 12.8
12.33 2.27 1.38 6 13.6
29.15 14.3 5.01 4 561.5
33.54 15.49 5.7 4 706.7
39.45 12.13 7.46 5 949.9
14.26 2.9 1.49 6 16.9
12.2 2.36 1.45 6 11.8
38.99 12.76 7.53 5 1163.5
36.84 19.48 6.92 4 1223.6
12.02 2.41 1.12 6 12.5
22.42 7.04 4.43 5 196.3
11.34 2.36 1.54 6 10.7
15.15 4.48 2.43 5 46.9
37.74 18.64 6.39 4 1206
11.27 2.26 1.31 6 11
10.96 1.8 1.07 6 7.9
10.51 2.3 1.89 5 19.6
11.76 2.29 1.29 6 11.8
12.1 2.11 1.16 6 12.4
18.02 5.16 2.97 5 79.7
11.76 2.09 1.52 6 14.6
28.2 14.07 4.74 4 339.4
12.69 2.53 1.66 6 17.2
31.18 14.98 5.15 4 559.9
25.5 8.28 5.16 5 350.6
30.2 14.7 4.96 4 696.3
11.34 2.06 1.14 6 9.1
11.51 2.13 1.57 6 10.9
32.61 15.16 5.37 4 591.6
14.71 2.95 1.96 6 23.8
26.84 8.71 5.65 5 364.2
36.7 18.85 7.2 4 974
12.69 2.42 1.56 6 15
30.13 15 5.31 4 484.6
28.72 13.77 4.84 4 546.2
35.43 10.85 6.63 5 651.5
11.47 2.37 1.47 6 11.9
31.07 16.35 5.98 4 921.7
13.89 4.14 2.12 5 49.5
13.38 2.72 1.85 6 18.7
34.39 17.74 6.05 4 953.7
37.64 20.57 7.46 4 1455.8
13.74 2.73 1.88 6 19
30.12 13.8 4.92 4 471.4
33.79 9.06 5.96 5 633.4
12.49 3.44 2.02 5 38.9
31.8 9.49 5.58 5 496.5
18.74 5.17 2.93 5 74.2
34.15 18.77 6.68 4 977.6
13.36 2.63 1.71 6 19.8
22.25 6.59 4.48 5 179.9
34.17 16.64 6.1 4 666.4
29.38 8.84 5.3 5 427.4
37.22 19.03 6.89 4 1235.7
29.24 14.73 5.45 4 541.5
40.73 19.52 6.79 4 1282.4
17.35 5.55 3.54 5 110
38.72 18.97 6.63 4 1099
31.8 9.96 5.61 5 418.3
12.63 2.43 1.61 6 15.9
35.58 17.78 5.81 4 848.3
12.38 2.45 1.73 6 12.2
31.72 14.78 5.66 4 504.4
14.23 2.96 2.04 6 22.7
32.12 9.75 5.38 5 543.6
14.61 2.94 1.76 6 20.8
36.37 18.06 6.76 4 977.1
34.25 9.96 5.77 5 602.7
37.01 18.74 7.2 4 1006.6
37.76 12.65 7.46 5 1039.7
13.62 2.71 1.64 6 20.1
27.36 8.69 5.43 5 317.1
13.61 2.51 1.69 6 18.8
28.74 14.64 5.31 4 529.2
32.45 16.57 6.17 4 680
14.83 3.22 2.02 6 24.7
33.06 14.45 5.55 4 583.1
13.4 2.46 1.65 6 17.7
22.22 11.63 4.45 4 433.5
36.74 18.23 6.52 4 1358.8
31 16.56 5.63 4 723.4
31.78 16.5 6.1 4 617.6
25.21 7.06 4.44 5 219.6
32.55 16.11 6.31 4 613.7
32.49 9.43 6.35 5 607.7
36.33 17.48 6.43 4 978.9
29.09 13.55 4.72 4 552.6
27.3 14.01 5.19 4 479.3
24.23 7.93 4.71 5 240.2
13.2 2.63 1.73 6 18.5
10.98 1.91 0.86 6 7.5
29.19 14.65 5.01 4 521.2
34.41 16.68 6.23 4 740.8
13.78 2.85 1.96 6 19.3
14.61 2.88 1.71 6 23.8
13.23 2.81 1.89 6 21.7
13.15 2.68 1.58 6 17.9
35.63 18.17 6.66 4 972.1
11.91 2.34 1.6 6 10.4
10.24 2.2 1.31 6 9.5
15.63 3.32 2.16 6 31.5
34.04 16.55 6.3 4 626.2
35.17 17.3 5.57 4 791.5
31.63 10.23 6.21 5 563
16.14 4.34 2.45 5 67.3
26.91 13.95 4.76 4 447.9
13.96 2.75 1.76 6 18.7
32.42 16.24 5.85 4 690.5
11.49 1.98 1.13 6 7.9
15.8 4.23 2.15 5 51.6
11.62 2.27 1.22 6 10.1
26.71 7.88 4.76 5 275.1
34.02 10.07 6.2 5 649.2
38.55 18.49 6.47 4 1268.8
32.48 17.24 6.42 4 951.6
11.29 2.07 1.13 6 12.1
41.25 19.57 6.63 4 1252.4
16 3.55 2.32 6 33.8
28.93 8.87 5.37 5 405.8
45.37 13.79 8.29 5 1503.2
27.62 13.35 4.92 4 506.9
24.54 7.14 4.03 5 233.8
11.55 2.55 1.65 6 15.3
34.72 16.91 6.35 4 905.2
26.29 12.62 5.09 4 356.4
13.78 2.78 1.86 6 20.7
37.28 19.58 6.75 4 1079
16.74 5.12 3.19 5 105.7
31.66 10.2 6.29 5 655.7
18.34 6.16 3.69 5 124.6
13.66 2.84 1.58 6 20
24.89 6.44 3.75 5 192.7
34.63 16.94 6.08 4 836.6
12.84 2.44 1.82 6 16.4
21.79 7.56 4.52 5 225.2
40.48 18.85 6.33 4 1234.2
31.43 15.4 5 4 501.5
11.57 2.26 1.46 6 12.7
35.93 10.84 6.73 5 950.3
36.13 17.13 6.52 4 897.6
21.87 7.22 4.26 5 211.8
26.93 12.75 3.97 4 365.6
11.27 1.97 0.71 6 7.6
13.75 3.07 1.92 6 20.5
11.4 2.12 1.03 6 10.1
31.48 16.12 5.51 4 837.9
22.84 7.01 4.94 5 226.8
11.83 3.69 1.85 5 20.6
25.85 13.53 4.62 4 428.8
11.42 2.06 1.22 6 11
30.65 8.78 5.01 5 412
28.7 8.95 5.49 5 420.7
42.07 12.84 7.79 5 1218.2
12.25 2.45 1.65 6 14.2
13.88 2.86 1.88 6 19.8
12.73 2.71 1.74 6 17
33.34 16.65 6.36 4 878.1
13.14 2.58 1.48 6 17
14.54 2.83 1.54 6 20.9
32.59 17.79 6.06 4 889.2
21.45 12.01 3.99 4 432.4
11.78 2.2 1.39 6 11
29.97 15.83 5.83 4 542.5
13.44 2.75 1.61 6 18.5
11.15 2.47 1.25 6 11.7
12.9 2.6 1.94 6 16.7
37.98 10.98 7.04 5 788.2
34.15 16.27 5.95 4 908.5
33.84 16.75 6.53 4 775.6
25 7.64 4.2 5 241
12.97 2.35 1.64 6 14.7
27.89 8.52 4.81 5 305
14.24 3.82 2.89 5 38.6
34.54 17.02 6.15 4 853.8
10.42 1.77 1.01 6 7.3
26.92 8.31 4.53 5 304.9
25.22 7.63 4.63 5 355.8
14.1 2.82 1.87 6 19.3
35.89 11.45 6.57 5 725
11.36 1.93 1.2 6 10.5
24.78 6.91 3.7 5 174.6
33.45 16.83 5.75 4 809.1
35.63 18.7 7.18 4 1113.9
30.01 14.58 5.54 4 552.6
13.09 2.47 1.66 6 15.9
11.75 2.22 1.37 6 10.3
11.71 2.04 1.02 6 10.7
31.25 16.75 6.15 4 796.6
29.02 9.42 5.7 5 438.7
12.75 2.51 1.2 6 10.4
29.67 13.45 5.15 4 595.8
27.21 8.86 5.11 5 338.9
36.34 17.68 6.51 4 1059
34.51 10.8 6.43 5 668.4
12.83 2.46 1.71 6 14.4
15.24 2.66 2.58 5 77.6
25.63 7.28 3.84 5 256.4
11.11 2.25 1.38 6 10.2
34.95 10.79 6.9 5 750.2
23.33 7.7 4.71 5 307.2
17.11 5.43 3.64 5 98.8
31.09 16.24 5.79 4 580.8
34.87 18.83 6.43 4 1268.6
21.88 6.63 3.53 5 115.4
12.25 3.38 1.45 5 19
12.07 2.54 1.36 6 14.9
36.54 18.09 6.5 4 1125.9
30.88 9.99 5.66 5 477.5
33.22 16.31 6.18 4 467
38.99 18.8 6.66 4 1291.8
14.43 3.02 2.05 6 24.6
29.01 8.23 4.84 5 310.6
13.07 2.7 1.77 6 18.3
37.59 20.54 7.13 4 1203.5
34.3 16.87 6.02 4 761.9
29.13 8.41 4.93 5 384.7
37.94 11.45 7.26 5 964.5
31.84 16.44 5.65 4 588.5
32.67 16.08 5.72 4 635.1
33.28 10.43 6.64 5 529.6
9.71 1.77 1.13 6 7.3
21.72 6.52 3.78 5 186.2
38.96 19.38 7 4 1182.7
31.99 15.88 5.85 4 926.9
32.55 11.01 6.16 5 589.1
13.86 3.72 2.16 5 40.8
11.28 1.86 1.09 6 9.2
29.84 9.52 5.4 5 502.4
11.94 1.62 0.79 6 10.4
28.65 8.73 4.71 5 393.9
35.08 17.1 6.67 4 862.9
24.18 12.62 4.19 4 319
11.13 2.39 1.38 6 11.7
28.77 15.01 5.5 4 410.8
21.82 6.41 3.25 5 163.8
29.01 15.19 5.61 4 730.8
